"","x"
"736","Taraba"
"737","Taraba"
"738","Taraba"
"739","Taraba"
"740","Taraba"
"741","Taraba"
"742","Yobe"
"743","Yobe"
"744","Yobe"
"745","Yobe"
"746","Yobe"
"747","Yobe"
"748","Yobe"
"749","Yobe"
"750","Yobe"
"751","Yobe"
"752","Yobe"
"753","Yobe"
"754","Yobe"
"755","Yobe"
"756","Jigawa"
"757","Jigawa"
"758","Jigawa"
"759","Jigawa"
"760","Jigawa"
"761","Jigawa"
"762","Jigawa"
"763","Jigawa"
"764","Jigawa"
"765","Jigawa"
"766","Jigawa"
"767","Jigawa"
"768","Jigawa"
"769","Jigawa"
"770","Jigawa"
"771","Jigawa"
"772","Kaduna"
"773","Kaduna"
"774","Kaduna"
"775","Kaduna"
"776","Kaduna"
"777","Kaduna"
"778","Kaduna"
"779","Kaduna"
"780","Kaduna"
"781","Kaduna"
"782","Kaduna"
"783","Kaduna"
"784","Kaduna"
"785","Kaduna"
"786","Kaduna"
"787","Kaduna"
"788","Kaduna"
"789","Kano"
"790","Kano"
"791","Kano"
"792","Kano"
"793","Kano"
"794","Kano"
"795","Kano"
"796","Kano"
"797","Kano"
"798","Kano"
"799","Kano"
"800","Kano"
"801","Kano"
"802","Kano"
"803","Kano"
"804","Kano"
"805","Kano"
"806","Kano"
"807","Katsina"
"808","Katsina"
"809","Katsina"
"810","Katsina"
"811","Katsina"
"812","Katsina"
"813","Katsina"
"814","Katsina"
"815","Katsina"
"816","Katsina"
"817","Katsina"
"818","Katsina"
"819","Katsina"
"820","Katsina"
"821","Katsina"
"822","Katsina"
"823","Katsina"
"824","Kebbi"
"825","Kebbi"
"826","Kebbi"
"827","Kebbi"
"828","Kebbi"
"829","Kebbi"
"830","Kebbi"
"831","Kebbi"
"832","Kebbi"
"833","Kebbi"
"834","Kebbi"
"835","Kebbi"
"836","Kebbi"
"837","Kebbi"
"838","Kebbi"
"839","Sokoto"
"840","Sokoto"
"841","Sokoto"
"842","Sokoto"
"843","Sokoto"
"844","Sokoto"
"845","Sokoto"
"846","Sokoto"
"847","Sokoto"
"848","Sokoto"
"849","Sokoto"
"850","Sokoto"
"851","Sokoto"
"852","Sokoto"
"853","Sokoto"
"854","Zamfara"
"855","Zamfara"
"856","Zamfara"
"857","Zamfara"
"858","Zamfara"
"859","Zamfara"
"860","Zamfara"
"861","Zamfara"
"862","Zamfara"
"863","Zamfara"
"864","Zamfara"
"865","Zamfara"
"866","Zamfara"
"867","Zamfara"
"868","Abia"
"869","Abia"
"870","Abia"
"871","Abia"
"872","Abia"
"873","Abia"
"874","Abia"
"875","Abia"
"876","Abia"
"877","Abia"
"878","Abia"
"879","Abia"
"880","Abia"
"881","Abia"
"882","Anambra"
"883","Anambra"
"884","Anambra"
"885","Anambra"
"886","Anambra"
"887","Anambra"
"888","Anambra"
"889","Anambra"
"890","Anambra"
"891","Anambra"
"892","Anambra"
"893","Anambra"
"894","Anambra"
"895","Anambra"
"896","Anambra"
"897","Anambra"
"898","Ebonyi"
"899","Ebonyi"
"900","Ebonyi"
"901","Ebonyi"
"902","Ebonyi"
"903","Ebonyi"
"904","Ebonyi"
"905","Ebonyi"
"906","Ebonyi"
"907","Ebonyi"
"908","Ebonyi"
"909","Ebonyi"
"910","Ebonyi"
"911","Enugu"
"912","Enugu"
"913","Enugu"
"914","Enugu"
"915","Enugu"
"916","Enugu"
"917","Enugu"
"918","Enugu"
"919","Enugu"
"920","Enugu"
"921","Enugu"
"922","Enugu"
"923","Enugu"
"924","Enugu"
"925","Enugu"
"926","Imo"
"927","Imo"
"928","Imo"
"929","Imo"
"930","Imo"
"931","Imo"
"932","Imo"
"933","Imo"
"934","Imo"
"935","Imo"
"936","Imo"
"937","Imo"
"938","Imo"
"939","Imo"
"940","Imo"
"941","Imo"
"942","Akwa Ibom"
"943","Akwa Ibom"
"944","Akwa Ibom"
"945","Akwa Ibom"
"946","Akwa Ibom"
"947","Akwa Ibom"
"948","Akwa Ibom"
"949","Akwa Ibom"
"950","Akwa Ibom"
"951","Akwa Ibom"
"952","Akwa Ibom"
"953","Akwa Ibom"
"954","Akwa Ibom"
"955","Akwa Ibom"
"956","Akwa Ibom"
"957","Bayelsa"
"958","Bayelsa"
"959","Bayelsa"
"960","Bayelsa"
"961","Bayelsa"
"962","Bayelsa"
"963","Bayelsa"
